16.4, 7.35, IT, 0.03968, Ga-72m, None
16.4, 8.3, b^-, 167400.0, Zn-72, None
16.45, 0.0063, b^-, 85392.0, W-187, None
16.5, 0.23, b^-, 2532.0, Ra-227, None
16.5, 0.31, a, 1033119360000.0, Pa-231, None
16.7, 0.012, b^-, 11160.0, Ho-167, None
17.1, 1.59, b^-, 1086.0, Eu-159, None
17.153, 18.0, b^-, 102.0, Ti-52, None
17.26, 0.004, b^-, 23299488.0, Pa-233, None
17.3, 0.231, e+b^+, 1374.0, Rb-79, None
17.36, 0.18, a, 231474240000.0, Th-229, None
17.36, 5.3, b^-, 240.0, Fr-225, None
17.62, 0.32, b^-, 0.78, Ag-121, None
17.7, 4.4e-05, b^-, 3153600000000.0, Sn-126, None
17.7, 4.55e-05, IT, 1149.0, Sb-126m, None
17.7, 0.000325, IT, 11.0, Sb-126m2, None
17.78, 0.042, b^-, 19332.0, Ag-113, None
18.04, 0.12, e+b^+, 230400.0, Re-182, None
18.053, 0.33, b^-, 91872.0, Th-231, None
18.18, 0.0043, e+b^+, 10224.0, Tl-197, None
18.2, 0.156, e+b^+, 42.5, As-67, None
18.265, 1.26, IT, 5760.0, Eu-152m2, None
18.4, 0.014, b^-, 22140.0, Ac-228, None
18.4, 0.34, e+b^+, 79200.0, Pa-228, None
18.4, 0.4, b^-, 35.6, Mo-105, None
18.43, 0.02, e, 42840.0, Am-239, None
18.5, 27.2, b^-, 75708.0, Pd-112, None
18.764, 0.049, b^-, 150146049.6, Eu-155, None
18.764, 0.063, e, 4596480.0, Tb-155, None
18.8, 1.9, IT, 0.00118, Tb-146m2, None
19.0, 0.29, b^-, 2532.0, Ra-227, None
19.0, 0.37, a, 1033119360000.0, Pa-231, None
19.1, 0.162, e+b^+, 1374.0, Rb-79, None
19.102, 0.111, b^-, 1308.0, Fr-223, None
19.38, 0.00099, e+b^+, 2021759.9999999998, Tb-153, None
19.394, 13.7, e+b^+, 7119360.0, Lu-171, None
19.394, 14.8, IT, 0.00525, Yb-171m, None
19.47, 0.6, IT, 2.3, Au-187m, None
19.5, 0.177, b^-, 684.0, Nd-152, None
19.6, 6.0, e+b^+, 294.0, Ir-181, None
19.62, 0.0024, e+b^+, 71640.0, Re-181, None
19.7, 0.25, e+b^+, 11.4, Au-181, None
19.77, 32.0, b^-, 1.22, Xe-142, None
19.8, 0.13, e+b^+, 255.0, Au-185, None
19.86, 0.036, e+b^+, 230400.0, Re-182, None
19.88, 0.0201, b^-, 86982595.2, Sb-125, None
19.92, 0.0017, IT, 34560.0, Au-196m2, None
19.94, 0.045, e, 58972320.0, Hf-172, None
20.0, 0.0, IT, 433.2, Np-240m, None
20.0, 0.0085, e+b^+, 12636.0, Ce-132, None
20.02, 0.01, b^-, 20822400.0, Th-234, None
20.1, 100.0, e+b^+, 1290.0, Os-180, None
20.19, 0.21, e+b^+, 3090.0, Lu-167, None
20.2, 0.07, a, 4.9, Ir-174m, None
20.26, 0.36, e+b^+, 46800.0, Os-183, None
20.3, 0.18, a, 16174079.999999998, Th-227, None
20.3, 0.8, b^-, 1308.0, Fr-223, None
20.44, 0.0082, e+b^+, 122616.00000000001, Lu-169, None
