2.171, Zr, L_{b6}
2.187, Zr, L_{b4}
2.196, Sr, L_{g2}
2.196, Sr, L_{g3}
2.201, Zr, L_{b3}
2.219, Zr, L_{b2}
2.243, S, K_{a3}
2.249, Tc, L_{h}
2.253, Ru, L_{l}
2.257, Nb, L_{b1}
2.29, Mo, L_{a2}
2.293, Mo, L_{a1}
2.304, Zr, L_{g1}
2.307, S, K_{a2}
2.308, S, K_{a1}
2.312, Nb, L_{b6}
2.319, Nb, L_{b4}
2.335, Nb, L_{b3}
2.347, Y, L_{g3}
2.347, Y, L_{g2}
2.367, Nb, L_{b2}
2.377, Rh, L_{l}
2.382, Ru, L_{h}
2.395, Mo, L_{b1}
2.42, Tc, L_{a2}
2.424, Tc, L_{a1}
2.456, Mo, L_{b4}
2.458, Mo, L_{b6}
2.461, Nb, L_{g1}
2.464, S, K_{b3}
2.464, S, K_{b1}
2.473, Mo, L_{b3}
2.503, Zr, L_{g3}
2.503, Zr, L_{g2}
2.503, Pd, L_{l}
2.518, Mo, L_{b2}
2.519, Rh, L_{h}
2.537, Tc, L_{b1}
2.552, Cl, K_{a3}
2.554, Ru, L_{a2}
2.558, Ru, L_{a1}
2.598, Tc, L_{b4}
2.609, Tc, L_{b6}
2.618, Tc, L_{b3}
2.621, Cl, K_{a2}
2.622, Cl, K_{a1}
2.623, Mo, L_{g1}
2.634, Ag, L_{l}
2.66, Pd, L_{h}
2.664, Nb, L_{g2}
2.664, Nb, L_{g3}
2.675, Tc, L_{b2}
2.683, Ru, L_{b1}
2.692, Rh, L_{a2}
2.697, Rh, L_{a1}
2.741, Ru, L_{b4}
2.763, Ru, L_{b6}
2.763, Ru, L_{b3}
2.767, Cd, L_{l}
2.791, Tc, L_{g1}
2.806, Ag, L_{h}
2.816, Cl, K_{b3}
2.816, Cl, K_{b1}
2.831, Mo, L_{g3}
2.831, Mo, L_{g2}
2.833, Pd, L_{a2}
2.834, Rh, L_{b1}
2.836, Ru, L_{b2}
2.839, Pd, L_{a1}
2.88, Ar, K_{a3}
2.891, Rh, L_{b4}
2.905, In, L_{l}
2.916, Rh, L_{b3}
2.923, Rh, L_{b6}
2.955, Ar, K_{a2}
2.957, Ar, K_{a1}
2.957, Cd, L_{h}
2.965, Ru, L_{g1}
2.978, Ag, L_{a2}
2.984, Ag, L_{a1}
2.99, Pd, L_{b1}
3.001, Rh, L_{b2}
3.004, Tc, L_{g2}
3.004, Tc, L_{g3}
3.045, Pd, L_{b4}
3.045, Sn, L_{l}
3.073, Pd, L_{b3}
3.087, Pd, L_{b6}
3.112, In, L_{h}
3.127, Cd, L_{a2}
3.134, Cd, L_{a1}
3.144, Rh, L_{g1}
3.151, Ag, L_{b1}
3.172, Pd, L_{b2}
3.181, Ru, L_{g3}
3.181, Ru, L_{g2}
3.188, Sb, L_{l}
3.19, Ar, K_{b3}
3.19, Ar, K_{b1}
3.203, Ag, L_{b4}
3.23, K, K_{a3}
3.234, Ag, L_{b3}
3.256, Ag, L_{b6}
3.272, Sn, L_{h}
3.279, In, L_{a2}
3.287, In, L_{a1}
3.311, K, K_{a2}
3.314, K, K_{a1}
3.316, Cd, L_{b1}
3.329, Pd, L_{g1}
3.335, Te, L_{l}
3.348, Ag, L_{b2}
3.364, Rh, L_{g3}
3.364, Rh, L_{g2}
3.367, Cd, L_{b4}
3.402, Cd, L_{b3}
3.43, Cd, L_{b6}
3.436, Sn, L_{a2}
3.437, Sb, L_{h}
3.444, Sn, L_{a1}
3.485, I, L_{l}
3.487, In, L_{b1}
3.52, Ag, L_{g1}
3.528, Cd, L_{b2}
3.535, In, L_{b4}
3.553, Pd, L_{g2}
3.553, Pd, L_{g3}
3.573, In, L_{b3}
3.59, K, K_{b3}
3.59, K, K_{b1}
3.595, Sb, L_{a2}
3.6, Ca, K_{a3}
3.605, Sb, L_{a1}
3.606, Te, L_{h}
3.608, In, L_{b6}
3.633, Xe, L_{l}
3.663, Sn, L_{b1}
3.688, Ca, K_{a2}
3.692, Ca, K_{a1}
3.708, Sn, L_{b4}
3.714, In, L_{b2}
3.718, Cd, L_{g1}
3.743, Ag, L_{g2}
3.75, Ag, L_{g3}
3.75, Sn, L_{b3}
3.759, Te, L_{a2}
3.769, Te, L_{a1}
3.78, I, L_{h}
3.792, Sn, L_{b6}
3.795, Cs, L_{l}
3.844, Sb, L_{b1}
3.886, Sb, L_{b4}
3.905, Sn, L_{b2}
3.922, In, L_{g1}
3.926, I, L_{a2}
3.933, Sb, L_{b3}
3.938, I, L_{a1}
3.951, Cd, L_{g3}
3.951, Cd, L_{g2}
3.954, Ba, L_{l}
3.955, Xe, L_{h}
3.98, Sb, L_{b6}
3.992, Sc, K_{a3}
4.013, Ca, K_{b1}
4.013, Ca, K_{b3}
4.03, Te, L_{b1}
4.038, Ca, K_{b4}
4.069, Te, L_{b4}
4.086, Sc, K_{a2}
4.091, Sc, K_{a1}
4.093, Xe, L_{a2}
4.101, Sb, L_{b2}
4.105, Xe, L_{a1}
4.121, Te, L_{b3}
4.121, La, L_{l}
4.132, Sn, L_{g1}
4.142, Cs, L_{h}
4.16, In, L_{g2}
4.16, In, L_{g3}
4.173, Te, L_{b6}
4.221, I, L_{b1}
4.258, I, L_{b4}
4.272, Cs, L_{a2}
4.286, Cs, L_{a1}
4.289, Ce, L_{l}
4.302, Te, L_{b2}
4.313, I, L_{b3}
4.331, Ba, L_{h}
4.349, Sb, L_{g1}
4.371, I, L_{b6}
4.376, Sn, L_{g2}
4.376, Sn, L_{g3}
4.403, Ti, K_{a3}
4.414, Xe, L_{b1}
4.451, Xe, L_{b4}
4.451, Ba, L_{a2}
4.453, Pr, L_{l}
4.461, Sc, K_{b3}
4.461, Sc, K_{b1}
4.466, Ba, L_{a1}
4.486, Sc, K_{b5}
4.493, Sc, K_{b4}
4.505, Ti, K_{a2}
4.507, I, L_{b2}
4.511, Ti, K_{a1}
4.512, Xe, L_{b3}
4.529, La, L_{h}
4.569, Xe, L_{b6}
4.572, Te, L_{g1}
4.6, Sb, L_{g3}
4.6, Sb, L_{g2}
4.62, Cs, L_{b1}
4.633, Nd, L_{l}
4.634, La, L_{a2}
4.649, Cs, L_{b4}
4.651, La, L_{a1}
4.714, Xe, L_{b2}
4.717, Cs, L_{b3}
4.73, Ce, L_{h}
4.781, Cs, L_{b6}
4.802, I, L_{g1}
4.809, Pm, L_{l}
4.822, Ce, L_{a2}
4.827, Ba, L_{b1}
4.829, Te, L_{g2}
4.829, Te, L_{g3}
4.837, V, K_{a3}
4.84, Ce, L_{a1}
4.852, Ba, L_{b4}
4.927, Ba, L_{b3}
4.929, Pr, L_{h}
4.932, Ti, K_{b1}
4.932, Ti, K_{b3}
4.934, Cs, L_{b2}
4.945, V, K_{a2}
4.952, V, K_{a1}
4.963, Ti, K_{b5}
4.966, Ti, K_{b4}
4.993, Sm, L_{l}
4.994, Ba, L_{b6}
5.013, Pr, L_{a2}
5.033, Pr, L_{a1}
5.034, Xe, L_{g1}
5.042, La, L_{b1}
5.062, La, L_{b4}
5.065, I, L_{g2}
5.065, I, L_{g3}
5.143, La, L_{b3}
5.146, Nd, L_{h}
5.156, Ba, L_{b2}
5.177, Eu, L_{l}
5.208, Nd, L_{a2}
5.212, La, L_{b6}
5.23, Nd, L_{a1}
5.263, Ce, L_{b1}
